"Entity","Year","pov_rate_20","pov_rate_10","pov_rate_5","pov_rate_2","number_in_poverty_20","number_in_poverty_10","number_in_poverty_5","number_in_poverty_2","poor_share_in_world_pop_20","poor_share_in_world_pop_10","poor_share_in_world_pop_5","poor_share_in_world_pop_2"
"South Asia excl. India","1970","99.6952589895496","98.4253179439936","83.6237455292202","16.8557385346625","157094804.352783","155093694.750248","131770117.017669","26560429.9959945","4.27472926552451","4.22027678495572","3.58561556416642","0.722739672241627"
"Sub-Saharan Africa","1970","95.5405212524849","87.7817622683195","72.4607748036315","43.1052707922279","274404797.3049","252120632.863708","208116765.136754","123803941.400481","7.4668683186071","6.86049072205336","5.66309516245064","3.36884681624128"
"Western Europe","1970","18.0077445894053","3.02236008402422","0.273140241151435","0.00344144278521889","63397885.5240146","10640490.6882148","961614.801595332","12115.9090552138","1.72512896106533","0.289539919107116","0.0261666383651363","0.00032968774002511"
"Western Offshoots","1970","7.78684624064712","0.703634123155036","0.0259065556977635","0.0000882164357787021","18866749.7564639","1704835.11699234","62768.9938001112","213.739602248217","0.513385835143026","0.0463905130250856","0.00170801609811553","0.0000058160989900099"
"China","1980","99.7084247043292","92.7824101523107","56.4521395311329","6.02667974602434","978373961.147524","910413482.258026","553928151.328312","59135891.0059019","22.1452932223849","20.6070217716848","12.5380496849194","1.33852872040533"
"E. Asia and Pacific excl. China","1980","70.2075469393555","55.0021332997519","36.2337533800883","14.0807975863974","389785279.852608","305366343.866893","201166175.390912","78175180.1199195","8.82270957618402","6.91190433691467","4.55335497199085","1.76947911045982"
"Eastern Europe and Central Asia","1980","38.4681128642329","9.71496771462766","2.22729165891095","0.270511137579971","164407713.527059","41520509.0665157","9519155.00226976","1156129.43556891","3.72133475405279","0.939808176152019","0.215464114056496","0.0261687517967819"
"India","1980","99.2000111939788","93.6732164323624","74.1149406278749","30.2318480241103","673568076.007116","636041139.57574","503240446.863271","205274248.083709","15.2460747533796","14.3966602717882","11.3907439278944","4.64634035178791"
"Latin America and the Caribbean","1980","64.0684720832892","40.1076191406324","20.2269354814749","5.67367873021855","229687394.472754","143787017.847741","72514170.5091521","20340308.4581954","5.19892689510955","3.25458955190897","1.64134332318054","0.46039869510854"
"Middle East and North Africa","1980","76.9069295331873","58.2900664215817","37.1792672762476","13.7942115262169","154211467.892061","116881492.486563","74550751.3643134","27659739.1260244","3.49054483289662","2.6455885235836","1.68744091162796","0.626072501645536"
"South Asia excl. India","1980","99.1191423357404","94.1115177187168","76.7392225901928","31.296932926539","201038400.442465","190881685.812987","155646328.218558","63478004.2082527","4.55046281233391","4.32056766735063","3.52302260103569","1.43681155896132"
"Sub-Saharan Africa","1980","95.2687208457931","87.4368522969925","72.4118274549028","44.0924703121788","358130364.654671","328689117.680762","272207645.295372","165750650.69873","8.10620708651655","7.43981052143916","6.16136402012442","3.7517318605038"
"Western Europe","1980","7.46452726948493","0.784085712593206","0.0414065812108665","0.000250272832627575","27417134.0155455","2879938.98149772","152085.958721701","919.249611512757","0.620581184907605","0.0651868260404642","0.00344243437033965","0.0000208070257385395"
"Western Offshoots","1980","3.37546686889009","0.178952959598854","0.00333469110513623","0.00000359449026306023","9117304.78621559","483360.891524485","9007.16740952823","9.70889792503882","0.206368317132832","0.0109407742848024","0.000203875380282157","0.00000021975890605675"
"China","1990","91.9842074292755","75.6770441784011","49.5170207531343","17.1536952798249","1044190925.10602","859074453.956582","562109792.036468","194726175.76228","19.9235321456453","16.3914444067485","10.725253631067","3.71544430153371"
"E. Asia and Pacific excl. China","1990","64.2536325268419","47.6809886130436","27.9195826561272","9.58251979664196","420913338.493161","312349097.016212","182895881.259585","62773266.5090401","8.03117536110353","5.95973123826366","3.48971809845166","1.19773612575022"
"Eastern Europe and Central Asia","1990","41.0594219253433","10.6125177741487","1.75031909528543","0.133381202869363","191414508.479539","49474390.4861259","8159795.08712018","621808.495844652","3.65225651855552","0.943988867875342","0.155691776102738","0.0118643260131172"
"India","1990","97.270505030356","86.1734036814331","60.0314106061056","19.8134000787991","816099537.204687","722994856.887224","503663534.985226","166234426.661125","15.5714677963639","13.7949975679652","9.61007837608685","3.17181165212632"
